TOTAL_SIMULATION_CYCLES,NUM_AGGRESSIVE_PRECHARGES,QUEUE_LATENCY,MLP,SUM_COMMITTED,IPC,SUM_OF_EXECUTION_TIMES,WEIGHTED_SPEEDUP,BANK_ACCESS_MEAN,BANK_ACCESS_VARIANCE,CYCLES_PER_REQUEST,READ_WRITE_LATENCY_RATIO,TARGET_RD_request_ratio
81789318.0,5999955.0,294.65582,0.07335867502893226,198000000.0,2.42085402888431,490734967.0,5.999988494830095,749994.625,2.6199018143255053,13.63165296543236,4016.0984218919752,0.5000036666935558
747555964.0,5999484.0,285.57043,0.008025464699523152,15684434780.0,20.98095063823208,4364108197.0,5.837834767110493,749935.5,20.467239199949947,124.60337655684289,35538.75733122772,0.503557472609311
72190666.0,5997662.0,241.94959,0.08308085147739183,171228331.0,2.371890169291415,403897347.0,5.594869383806488,749707.75,21.281425724537357,12.036467876962663,2911.8679818298892,0.5535802117558475
228261260.0,5999038.0,500.26729,0.02628145485572103,2010392076.0,8.807416887123114,1362861296.0,5.970620227015307,749879.75,15.239260358110377,38.04964395951809,19027.752277129755,0.503825446679951
214046606.0,5998846.0,238.3054,0.02802588703508805,2031459236.0,9.49073322844465,1078310556.0,5.037737229993733,749855.75,20.10245126661564,35.68129703607047,8500.0128478814,0.7474775981913855
106940789.0,5201643.0,1128.13856,0.04864040230711221,37052523.0,0.3464769929834724,547056840.0,5.115511537884763,650205.375,15.202512227476348,20.55904048005494,23188.67895230287,0.5006416241945093
64872537.0,5999945.0,247.64056,0.09248821269314625,297733438.0,4.589514327148945,386369605.0,5.955826962648309,749993.125,11.834438942106198,10.812188611710921,2677.2469736417856,0.5065723102461772
86653184.0,5999824.0,439.69589,0.06923950999884781,287240555.0,3.314829781673112,511540964.0,5.903314112497009,749978.0,15.523376240010943,14.44262098352478,6349.444061153874,0.9762128022421991
167508002.0,5999996.0,277.57035,0.03581916044822742,976126743.0,5.827343955783079,1002132295.0,5.982593565888274,749999.5,7.0431599159883405,27.918018945299437,7747.051466670139,0.5077496718331146
845009330.0,5999905.0,262.51455,0.007100400891431578,14868843737.0,17.59607049190806,4284964446.0,5.07090785139615,749988.125,15.133271056354877,140.83711825413764,36919.79594516877,0.5819602143700608
55893266.0,5985865.0,368.59943,0.1070945648443589,43342773.0,0.7754560808810135,333786810.0,5.971860903601518,748233.125,16.266698364330544,9.337542026074198,3441.491317719627,0.60927769002475
606275162.0,5999410.0,220.05717,0.009895523313554448,8135373775.0,13.41861630643546,2794086438.0,4.608611094643524,749926.25,15.650347067185226,101.05579748658442,22215.602652600875,0.7705576048311418
162789881.0,5999651.0,282.20018,0.03685518389192753,1756465512.0,10.78977084576897,905393351.0,5.561729914895632,749956.375,17.31854552658297,27.13322508254708,7654.92397453615,0.533447862217319
143328362.0,5999917.0,281.89626,0.04186133795347497,810670848.0,5.65603929806998,742824149.0,5.182673817203046,749989.625,11.148149717586847,23.888390789366106,6732.43974943497,0.5071033482629843
108394742.0,5999921.0,315.11004,0.05535250962634331,685104764.0,6.320461226800097,627122771.0,5.785546046135707,749990.125,13.996495062447865,18.06602820267456,5691.758594882415,0.6145939254866856
493878842.0,5999828.0,237.75057,0.01214838031065117,5232835240.0,10.59538250071462,1833649203.0,3.712751077925302,749978.5,9.939035664553675,82.3155000441974,19554.46070326671,0.5095499404316257
125329118.0,5998901.0,363.82651,0.04786518165714691,908684317.0,7.250384679161311,677241625.0,5.403705346430348,749862.625,13.14749586274869,20.892013053689517,7599.4805117504375,0.5366808020335725
299354498.0,6000000.0,301.52492,0.0200431262602909,784485735.0,2.620591106000351,1788743928.0,5.97533673270545,750000.0,13.173460877625452,49.89241633325018,15036.30486768929,0.9476105
345004778.0,5997915.0,609.41044,0.01738502009963468,3806729126.0,11.03384465591372,1998216631.0,5.791852050814207,749739.375,26.98718950446009,57.52078480595754,35033.61516741211,0.6847532850999055
81789318.0,5999960.0,294.74108,0.07335873616160976,198000000.0,2.42085402888431,490734519.0,5.999983017342191,749995.25,2.2963154799804504,13.631641605647719,4017.257150931046,0.5000032500211251
747555964.0,5999508.0,285.35085,0.008025496804142947,15626361377.0,20.90326628308459,4349474163.0,5.818258929708706,749938.5,20.62288587327824,124.60287810246341,35511.2890907851,0.5035339564510957
